Alk,SO4,Na,Mg,Ca,Si
25,101.198381,72.602904,46.12092,62.35,144.768
43,101.498376,71.302852,45.23208,63.8464,139.776
43,101.198381,80.0032,46.911,73.8224,148.06272
43,100.798387,78.703148,48.58992,70.8296,148.06272
45,100.798387,78.703148,48.58992,66.8392,154.752
61,101.198381,78.703148,46.911,64.844,154.752
47,100.998384,77.403096,46.911,61.3524,154.752
68,100.998384,77.00308,46.911,72.326,154.752
58,100.798387,77.00308,46.911,72.326,154.752
63,100.998384,79.603184,47.70108,75.8176,161.44128
75,93.0985104,90.903636,47.70108,73.3236,181.40928
72,94.1984928,92.603704,51.05892,72.326,181.40928
82,87.0986064,97.803912,47.70108,77.8128,199.68
126,49.7992032,133.50534,61.725,96.2684,286.24128
174,49.9992,135.205408,64.194,99.2612,271.26528
181,51.2991792,135.205408,62.51508,95.7696,266.27328
175,51.499176,139.105564,63.40392,99.2612,282.84672
195,49.7992032,137.405496,64.194,100.2588,286.24128
188,50.1991968,137.805512,64.194,99.76,286.24128
191,50.1991968,137.805512,64.98408,100.7576,286.24128
199,50.1991968,137.405496,64.98408,99.76,282.84672
211,50.1991968,137.805512,64.98408,101.2564,282.84672
181,50.5991904,137.805512,64.98408,101.7552,282.84672
205,49.9992,137.805512,64.98408,100.2588,281.24928
207,49.7992032,137.405496,64.98408,101.2564,281.24928
192,50.1991968,137.00548,64.98408,100.2588,286.24128
195,50.3991936,137.405496,64.194,100.7576,282.84672
200,50.3991936,137.00548,64.98408,100.7576,282.84672
180,49.5992064,137.805512,64.194,101.2564,286.24128
178,56.499096,126.50506,60.04608,90.7816,254.592
88,81.1987008,87.403496,44.442,76.8152,168.03072
122,77.8987536,99.103964,47.70108,79.808,196.38528
119,68.2989072,113.904556,53.52792,85.7936,232.92672
146,56.8990896,122.204888,48.58992,77.8128,244.608
150,55.5991104,124.304972,51.05892,80.8056,249.6
169,52.49916,127.405096,52.63908,81.8032,261.28128
166,50.7991872,136.105444,55.10808,86.2924,262.87872
164,51.6991728,127.805112,53.52792,83.7984,261.28128
159,52.49916,129.105164,52.63908,83.2996,261.28128
164,51.6991728,130.405216,52.63908,83.2996,261.28128
163,52.2991632,127.00508,53.52792,101.7552,262.87872
166,51.6991728,131.705268,53.52792,83.7984,262.87872
164,52.49916,130.0052,53.52792,84.796,266.27328
169,51.499176,130.405216,55.99692,88.2876,266.27328
169,52.2991632,131.305252,56.787,88.7864,272.86272
171,51.499176,130.0052,55.99692,88.2876,267.87072
164,50.999184,130.405216,55.10808,85.7936,262.87872
173,51.499176,130.405216,56.787,89.2852,266.27328
174,51.2991792,131.705268,56.787,89.784,267.87072
154,51.499176,132.205288,57.57708,91.7792,267.87072
165,50.5991904,132.605304,58.46592,91.2804,267.87072
173,47.2992432,134.305372,54.318,86.2924,272.86272
90,69.99888,91.703668,46.12092,79.3092,173.02272
93,71.498856,93.50374,46.911,79.3092,191.39328
71,79.5987264,79.103164,43.65192,78.3116,154.752
61,84.5986464,73.00292,41.18292,76.3164,144.768
72,79.3987296,71.702868,36.24492,64.844,154.752
71,74.5988064,77.00308,35.35608,62.8488,166.43328
30,85.998624,50.902036,29.628,57.8608,104.832
51,84.1986528,60.0024,31.30692,58.3596,124.8
33,88.6985808,53.00212,28.83792,56.3644,109.824
46,88.998576,55.202208,30.41808,57.362,114.816
47,88.498584,63.00252,32.88708,59.3572,129.792
62,86.6986128,69.102764,34.566,61.8512,148.06272
63,84.7986432,74.802992,36.24492,63.8464,161.44128
72,83.0986704,78.703148,37.035,63.8464,171.42528
73,81.8986896,81.303252,37.82508,64.844,176.41728
86,81.498696,81.703268,37.82508,64.844,176.41728
85,79.99872,83.00332,37.82508,65.8416,181.40928
85,79.3987296,84.803392,38.71392,65.8416,149.76
89,78.2987472,86.103444,39.504,67.338,181.40928
97,77.49876,87.00348,38.71392,67.338,191.39328
88,76.6987728,87.403496,39.504,67.8368,161.44128
83,75.998784,87.803512,40.29408,68.8344,184.704
95,79.5987264,94.803792,46.12092,75.8176,196.38528
90,77.0987664,93.903756,45.23208,76.8152,196.38528
167,49.5992064,117.804712,51.849,80.3068,266.27328
156,50.1991968,120.904836,52.63908,83.7984,249.6
198,38.999376,126.50506,61.725,95.7696,281.24928
198,34.5994464,130.0052,62.51508,96.2684,291.23328
162,47.2992432,131.305252,61.725,88.7864,246.30528
151,55.5991104,125.205008,49.38,82.8008,239.616
124,61.6990128,93.50374,42.76308,84.796,179.712
63,85.1986368,63.902556,32.88708,73.3236,121.50528
83,80.7987072,78.703148,39.504,83.7984,149.76
40,90.3985536,60.402416,29.628,65.8416,109.824
45,90.998544,56.50226,32.097,66.8392,104.832
34,91.498536,59.102364,32.88708,54.3692,111.52128
53,88.2985872,72.202888,34.566,71.3284,136.48128
69,80.7987072,80.903236,36.24492,65.3428,154.752
49,86.498616,63.00252,32.88708,58.8584,121.50528
28,88.0985904,48.701948,29.628,56.3644,91.55328
24,90.3985536,49.101964,28.83792,61.3524,91.55328
25,90.3985536,53.00212,32.097,64.844,91.55328
35,91.8985296,59.102364,32.097,62.8488,109.824
45,92.49852,57.00228,35.35608,46.3884,116.51328
38,93.7984992,51.302052,35.35608,41.8992,109.824
33,91.8985296,45.201808,33.77592,40.9016,91.55328
25,87.8985936,35.701428,32.097,37.41,74.88
29,99.9984,38.701548,36.24492,36.9112,84.864
29,99.5984064,37.801512,36.24492,37.41,89.856
29,104.39833,44.801792,41.18292,41.8992,104.832
42,103.798339,47.801912,41.18292,43.3956,114.816
41,99.9984,53.50214,38.71392,41.8992,131.48928
49,91.8985296,54.802192,37.035,41.4004,131.48928
36,93.0985104,49.601984,34.566,35.9136,116.51328
35,93.2985072,51.302052,36.24492,45.8896,101.53728
37,96.498456,51.302052,37.035,47.8848,111.52128
46,97.0984464,55.202208,39.504,57.8608,121.50528
45,97.2984432,63.902556,35.35608,86.2924,129.792
44,95.7984672,72.202888,36.24492,60.8536,131.48928
42,94.99848,71.302852,37.035,77.314,139.776
55,93.498504,72.202888,38.71392,71.8272,141.47328
54,92.49852,73.902956,36.24492,104.2492,144.768
66,91.8985296,82.203288,36.24492,87.7888,146.46528
57,90.5985504,84.303372,37.035,83.2996,149.76
67,89.1985728,80.403216,38.71392,78.8104,151.45728
59,88.6985808,80.903236,37.82508,92.7768,156.44928
65,87.2986032,84.803392,36.24492,83.2996,154.752
85,74.5988064,83.00332,41.18292,54.3692,186.40128
92,69.99888,90.903636,41.973,67.338,184.704
41,82.8986736,64.802592,37.035,54.3692,116.51328
32,82.8986736,56.50226,32.88708,67.8368,111.52128
32,78.498744,51.702068,31.30692,59.3572,89.856
42,83.498664,52.602104,32.097,61.8512,104.832
30,82.2986832,53.00212,32.88708,59.3572,91.55328
36,82.0986864,58.702348,33.77592,63.8464,101.53728
